shots,attack,drift,eta_c_margin,eta_c_psecure50
2000,0.05,0.005,0.08302001143577667,0.08272727272727272
2000,0.1,0.005,0.08033176014915971,0.0793421052631579
2000,0.15,0.005,0.07697779096553567,0.07669354838709677
2000,0.2,0.005,0.07449306593209751,0.07390624999999999
2000,0.25,0.005,0.07113153942374177,0.07027777777777777
2000,0.3,0.005,0.06850566048148589,0.06858974358974358
2000,0.35,0.005,0.065571143656082,0.06527777777777778
2000,0.4,0.005,0.06282804809398207,0.06258620689655173
2000,0.05,0.01,0.07703360015396393,0.07710526315789473
2000,0.1,0.01,0.07457200635577346,0.07383333333333333
2000,0.15,0.01,0.0717978029691414,0.0713235294117647
2000,0.2,0.01,0.06846981880604575,0.068125
2000,0.25,0.01,0.06633839247590181,0.06531250000000001
2000,0.3,0.01,0.06304844248135001,0.06261111111111112
2000,0.35,0.01,0.059844926689351055,0.05972972972972974
2000,0.4,0.01,0.057521499318352,0.05721428571428572
2000,0.05,0.02,0.064930866011547,0.06473958333333334
2000,0.1,0.02,0.06277315931962994,0.06269230769230769
2000,0.15,0.02,0.0598553544121327,0.059333333333333335
2000,0.2,0.02,0.058027640438619923,0.05776785714285715
2000,0.25,0.02,0.055055816736581255,0.05443877551020408
2000,0.3,0.02,0.05261730938371074,0.05284615384615385
2000,0.35,0.02,0.04957622330772617,0.04933333333333333
2000,0.4,0.02,0.04649990908196785,0.04635869565217392
2000,0.05,0.03,0.05466524247372279,0.05522727272727273
2000,0.1,0.03,0.05177641406272671,0.05094594594594595
2000,0.15,0.03,0.04885332488686362,0.04862745098039216
2000,0.2,0.03,0.04624563427114889,0.04560975609756098
2000,0.25,0.03,0.043631578228373324,0.04327380952380953
2000,0.3,0.03,0.040571102392571765,0.040204081632653065
2000,0.35,0.03,0.03735542205191209,0.037447916666666664
2000,0.4,0.03,0.034916671284185095,0.03492424242424243
5000,0.05,0.005,0.08580144769425695,0.08534313725490196
5000,0.1,0.005,0.08309050625630107,0.08282258064516128
5000,0.15,0.005,0.08045287330716065,0.07995283018867924
5000,0.2,0.005,0.07735556893368671,0.0766860465116279
5000,0.25,0.005,0.07525388608683865,0.0748170731707317
5000,0.3,0.005,0.07217687592064483,0.07181372549019607
5000,0.35,0.005,0.06947818108610099,0.06901162790697674
5000,0.4,0.005,0.06675925265147105,0.06638157894736843
5000,0.05,0.01,0.08006919018443116,0.07971311475409837
5000,0.1,0.01,0.07776926805833345,0.07772058823529411
5000,0.15,0.01,0.0750021116064812,0.07457317073170731
5000,0.2,0.01,0.07220494513642516,0.07190909090909091
5000,0.25,0.01,0.06984561314141342,0.0698125
5000,0.3,0.01,0.0669356087060727,0.06642857142857143
5000,0.35,0.01,0.06378530240700478,0.06352739726027397
5000,0.4,0.01,0.06099426987934525,0.060793650793650796
5000,0.05,0.02,0.06925751391852757,0.06899122807017544
5000,0.1,0.02,0.06617563892126484,0.06581967213114755
5000,0.15,0.02,0.06369064550887786,0.06345
5000,0.2,0.02,0.061023154193903376,0.06065789473684211
5000,0.25,0.02,0.058323559377719006,0.05789473684210527
5000,0.3,0.02,0.05547860667628579,0.05544642857142857
5000,0.35,0.02,0.052597571114001804,0.05266393442622951
5000,0.4,0.02,0.04956156233389887,0.04928571428571429
5000,0.05,0.03,0.058562428927509326,0.058146551724137935
5000,0.1,0.03,0.05534337103328396,0.055357142857142855
5000,0.15,0.03,0.05253043560903206,0.05231481481481482
5000,0.2,0.03,0.04951637639701319,0.04922794117647059
5000,0.25,0.03,0.04662393198371185,0.046250000000000006
5000,0.3,0.03,0.04411411473346203,0.04373287671232877
5000,0.35,0.03,0.04149854619002689,0.04125
5000,0.4,0.03,0.03877690383184828,0.03837301587301587
10000,0.05,0.005,0.0874835386200577,0.08710526315789473
10000,0.1,0.005,0.08479424170374893,0.08453488372093022
10000,0.15,0.005,0.0825808362980178,0.08238281249999999
10000,0.2,0.005,0.07969552574362311,0.07933544303797468
10000,0.25,0.005,0.07663504175711978,0.07605633802816901
10000,0.3,0.005,0.0738550932641946,0.07358695652173913
10000,0.35,0.005,0.07117670543061008,0.07088607594936708
10000,0.4,0.005,0.06828257583117445,0.06784615384615385
10000,0.05,0.01,0.08204410628987205,0.08186170212765957
10000,0.1,0.01,0.07901227295806125,0.07867283950617283
10000,0.15,0.01,0.07647043645514509,0.07623456790123456
10000,0.2,0.01,0.07398450992401143,0.07332191780821917
10000,0.25,0.01,0.07116276056380404,0.07096875
10000,0.3,0.01,0.06799606625182204,0.06746913580246915
10000,0.35,0.01,0.0653520301260041,0.065
10000,0.4,0.01,0.06275225057962072,0.06253086419753086
10000,0.05,0.02,0.07118457016039376,0.07072463768115941
10000,0.1,0.02,0.06833506773793516,0.06802469135802469
10000,0.15,0.02,0.06531248235012367,0.06513698630136987
10000,0.2,0.02,0.06288402005917422,0.06234126984126984
10000,0.25,0.02,0.05938366103578659,0.058961038961038964
10000,0.3,0.02,0.05717239240425335,0.056875
10000,0.35,0.02,0.054357583700985354,0.05423913043478261
10000,0.4,0.02,0.05154148229729065,0.0514041095890411
10000,0.05,0.03,0.05975845114193572,0.05920886075949368
10000,0.1,0.03,0.057233880237219835,0.056764705882352946
10000,0.15,0.03,0.05427203578987131,0.053873626373626374
10000,0.2,0.03,0.051445786146562006,0.051015625
10000,0.25,0.03,0.04857467734801194,0.04821969696969697
10000,0.3,0.03,0.04571808470976655,0.04537313432835821
10000,0.35,0.03,0.04329569516442254,0.043031914893617025
10000,0.4,0.03,0.04043862851273111,0.040125
20000,0.05,0.005,0.0888735765520688,0.0885
20000,0.1,0.005,0.08619640230068609,0.08597619047619047
20000,0.15,0.005,0.08345336828089045,0.08303571428571428
20000,0.2,0.005,0.08074430598775202,0.08056306306306306
20000,0.25,0.005,0.07795927540253347,0.07779545454545454
20000,0.3,0.005,0.07540094169837537,0.07487244897959183
20000,0.35,0.005,0.07239649340968737,0.0721505376344086
20000,0.4,0.005,0.06954056885678576,0.06917647058823528
20000,0.05,0.01,0.08336168542276098,0.08300458715596329
20000,0.1,0.01,0.08050205251805499,0.080175
20000,0.15,0.01,0.07800406318250755,0.07771844660194174
20000,0.2,0.01,0.07497184870337394,0.07452380952380952
20000,0.25,0.01,0.07236234315151438,0.07203431372549018
20000,0.3,0.01,0.0694846567110001,0.06907407407407407
20000,0.35,0.01,0.0668247836604088,0.06638636363636365
20000,0.4,0.01,0.0639025103698637,0.06346938775510204
20000,0.05,0.02,0.07217304779447427,0.07178571428571429
20000,0.1,0.02,0.06944176820556715,0.0690625
20000,0.15,0.02,0.06678141037478635,0.0665
20000,0.2,0.02,0.06382134308845322,0.06347087378640777
20000,0.25,0.02,0.06112830606135687,0.06077586206896552
20000,0.3,0.02,0.05840506892079111,0.0579950495049505
20000,0.35,0.02,0.0557076522957372,0.05543478260869565
20000,0.4,0.02,0.05266814928463426,0.052345360824742275
20000,0.05,0.03,0.06111848198930977,0.06087378640776699
20000,0.1,0.03,0.05825676792159639,0.05789473684210527
20000,0.15,0.03,0.05534261985157726,0.05508152173913043
20000,0.2,0.03,0.05270257266475791,0.05221052631578948
20000,0.25,0.03,0.05006106730843116,0.04958333333333333
20000,0.3,0.03,0.04715455748735308,0.046754385964912284
20000,0.35,0.03,0.0443365911615838,0.044000000000000004
20000,0.4,0.03,0.041568735276984306,0.04127450980392157
